,location,Super Market,Supermarket
203,Sarjapur,,"Easyday Club Bengaluru Sarjapur,Total Superstore,Namdhari's Fresh,BB-Bengaluru- Ambalipura Village-  Coronet Green Apartment,Sarjapur, Bengaluru (Star Market),Spencer's,Easyday Club Bengaluru Sarjapur,"
204,Sarjapur  Road,,
205,Sarjapura - Attibele Road,,
206,Sector 2 HSR Layout,,
207,Sector 7 HSR Layout,,
208,Seegehalli,,
209,Shampura,,
210,Shivaji Nagar,,
211,Singasandra,,"Star Market Singasandra,Star Market Singasandra,"
212,Somasundara Palya,,
213,Sompura,,
214,Sonnenahalli,,
215,Subramanyapura,,
216,Sultan Palaya,,
217,TC Palaya,,
218,Talaghattapura,,
219,Thanisandra,,"SPAR Hypermarket Elements Mall,SPAR Hypermarket Elements Mall,"
220,Thigalarapalya,,"SPAR Hypermarket Forum Shantiniketan,SPAR Hypermarket Forum Shantiniketan,"
221,Thubarahalli,,
222,Tindlu,,
223,Tumkur Road,,
224,Ulsoor,,
225,Uttarahalli,,"Metro Bengaluru-Kanakapura Road,Uttarahalli, Bengaluru (Star Market),Metro Bengaluru-Kanakapura Road,"
226,Varthur,,"FBB-Bengaluru- Sirajpura Ring Raod-soul Space Spirit,FBB-Bengaluru- Sirajpura Ring Raod-soul Space Spirit,"
227,Varthur Road,,
228,Vasanthapura,,
229,Vidyaranyapura,,"Reliance Fresh VidyaranyaPura,Reliance Fresh VidyaranyaPura,"
230,Vijayanagar,,"Vijayanagar,TTMC,Vijayanagar,TTMC,"
231,Vishveshwarya Layout,,
232,Vishwapriya Layout,,
233,Vittasandra,,
234,Whitefield,,"Reliance Fresh I Gate Global Solution Ltd.,Namdhari's Fresh,Namdhari's Fresh,SPAR Hypermarket Forum Shantiniketan,Metro Bengaluru-Whitefield,Namdhari's Fresh,Channasandra, Bengaluru (Star Market),Star Bazaar  Immadahalli,Tesco Campus, Bengaluru (Only for TESCO Employees) (Star Daily),Nature's Basket - Whitefield,SUPER 99 INORBIT MALL BENGALURU,Reliance Mart,Reliance Fresh I Gate Global Solution Ltd.,"
235,Yelachenahalli,,
236,Yelahanka,,"Easyday Club Bengaluru Yelahanka,Reliance Fresh Amurthalli,Reliance Fresh New Yelanka Town,SPAR Hypermarket RMZ Galleria Mall,SUPER 99 RMZ GALLERIA MALL,Easyday Club Bengaluru Yelahanka,"
237,Yelahanka New Town,,"Reliance Fresh New Yelanka Town,Reliance Fresh New Yelanka Town,"
238,Yelenahalli,,
239,Yeshwanthpur,,"Reliance Fresh Hesarghatta,Reliance Fresh Ulla Main Road,Reliance Fresh Hesarghatta,"
